SLA (m)  	SSH (m)  	lat (degrees_north)  	
-0.0481	33.7945	-43.95483	
-0.0222	33.8333	-43.909822	
-0.0186999999	33.8619000001	-43.864798	
-0.0128000001	33.9012999999	-43.819759	
-0.0101000002	33.9407999998	-43.774703	
-0.0629999999	33.9234000001	-43.729631	
-0.0438000001	33.9723999999	-43.684544	
-0.0235000001	34.0274999999	-43.639441	
-0.0518000001	34.0301999999	-43.594321	
-0.0472000002	34.0600999998	-43.549186	
0.0293	34.1678	-43.504036	
-0.0117	34.1625	-43.45887	
0.0614999999	34.2722999999	-43.413688	
0.0527	34.3009	-43.36849	
0.0113	34.3069	-43.323277	
0.1147999999	34.4655999999	-43.278049	
0.0908	34.4853	-43.232805	
0.0763000002	34.5012000002	-43.187546	
0.0949	34.5481	-43.142271	
0.1038000002	34.5901000002	-43.096981	
0.1175999998	34.6314999998	-43.051676	
0.1260000001	34.6609000001	-43.006356	
0.0721999999	34.6215999999	-42.961021	
